SelectionBoxLabelText 选择
Search_Field_Hint 实体名称筛选器
Search 搜索
Search_Tooltip 搜索

SnapTransformLabelText 辅助移动距离 [Ctrl]
SnapRotationLabelText 辅助旋转距离 [Ctrl]

LargeLabel 大型实体
MediumLabel 中型实体
SmallLabel 小型实体
BarricadesLabel 碰撞体
StructuresLabel 结构体
NPCsLabel NPCs

TransformButtonText 移动 [{0}]
TransformButtonTooltip 移动

RotateButtonText 旋转 [{0}]
RotateButtonTooltip 旋转

ScaleButtonText 缩放 [{0}]
ScaleButtonTooltip 缩放

CoordinateButtonTextGlobal 全局坐标
CoordinateButtonTextLocal 局部坐标
CoordinateButtonTooltip 坐标系

IsOwnedCullingVolumeAllowed_Label Enable Owned Culling Volume
IsOwnedCullingVolumeAllowed_Tooltip If false, removes embedded culling volume.
MaterialPaletteOverride_Label 纹理面板 GUID
MaterialPaletteOverride_Tooltip 覆盖资产默认纹理面板.
MaterialIndexOverride_Label 纹理索引
MaterialIndexOverride_Tooltip 覆盖随机索引到纹理面板.
