TableNameFieldLabelText 生成表名称
AddTableButtonText 添加
AddTableButtonTooltip 添加生成表
RemoveTableButtonText 移除
RemoveTableButtonTooltip 移除生成表

SelectionBoxLabelText 选择

TableIDFieldLabelText 生成表 ID

TierNameFieldLabelText 层级
AddTierButtonText 添加
AddTierButtonTooltip 添加层级
RemoveTierButtonText 移除
RemoveTierButtonTooltip 移除层级

AnimalIDFieldLabelText 动物 ID
AddAnimalButtonText 添加
AddAnimalButtonTooltip 添加动物
RemoveAnimalButtonText 移除
RemoveAnimalButtonTooltip 移除动物

RadiusSliderLabelText 半径

AddButtonText 添加 [{0}]
AddButtonTooltip 添加刷新点

RemoveButtonText 移除 [{0}]
RemoveButtonTooltip 移除刷新点
