TableNameFieldLabelText 生成表名称
AddTableButtonText 添加
AddTableButtonTooltip 添加生成表
RemoveTableButtonText 移除
RemoveTableButtonTooltip 移除生成表

SelectionBoxLabelText 选择

TableIDFieldLabelText 生成表 ID

TierNameFieldLabelText 层级
AddTierButtonText 添加
AddTierButtonTooltip 添加层级
RemoveTierButtonText 移除
RemoveTierButtonTooltip 移除层级

VehicleIDFieldLabelText 载具 ID
AddVehicleButtonText 添加
AddVehicleButtonTooltip 添加载具
RemoveVehicleButtonText 移除
RemoveVehicleButtonTooltip 移除载具

RadiusSliderLabelText 半径
RotationSliderLabelText 角度

AddButtonText 添加 [{0}]
AddButtonTooltip 添加刷新点

RemoveButtonText 移除 [{0}]
RemoveButtonTooltip 移除刷新点
