TableNameFieldLabelText 生成表名称
AddTableButtonText 添加
AddTableButtonTooltip 添加生成表
RemoveTableButtonText 移除
RemoveTableButtonTooltip 移除生成表

SelectionBoxLabelText 选择

MegaToggleLabelText 巨型
HealthFieldLabelText 血量
DamageFieldLabelText 伤害
LootIndexFieldLabelText Loot Index
LootIDFieldLabelText Loot ID
XPFieldLabelText 经验
RegenFieldLabelText 回复
DifficultyGUIDFieldLabelText 难度 GUID

ItemIDFieldLabelText 物品 ID
AddItemButtonText 添加
AddItemButtonTooltip 添加物品
RemoveItemButtonText 移除
RemoveItemButtonTooltip 移除物品

RadiusSliderLabelText 半径

AddButtonText 添加 [{0}]
AddButtonTooltip 添加刷新点

RemoveButtonText 移除 [{0}]
RemoveButtonTooltip 移除刷新点

Slot_0 衬衫
Slot_1 裤子
Slot_2 帽子
Slot_3 背心
