Hint_Remove 移除选中: [{0}]

RepairEdges_Label 修复边界
RepairEdges_Tooltip 在遇到无法同步区块之间 Heightmaps 边界的错误时非常有用. 如果发生该错误请您及时向我们反馈!

ApplyToAllTiles_Label 复制纹理图层
ApplyToAllTiles_Tooltip 全部区块应用选中区块纹理图层.
ApplyToAllTiles_Confirm_Label 确定
ApplyToAllTiles_Confirm_Tooltip 确定复制图层.
ApplyToAllTiles_Deny_Label 取消
ApplyToAllTiles_Deny_Tooltip 取消复制图层.

ResetSplatmap_Label 重置纹理
ResetSplatmap_Tooltip 绘制首层纹理在区块的另一面.
ResetSplatmap_Confirm_Label 确定
ResetSplatmap_Confirm_Tooltip 确定重置纹理.
ResetSplatmap_Deny_Label 取消
ResetSplatmap_Deny_Tooltip 取消重置纹理.

ResetHeightmap_Label 重置高度
ResetHeightmap_Tooltip 平整地形区块到零高度.
ResetHeightmap_Confirm_Label 确定
ResetHeightmap_Confirm_Tooltip 确定重置高度.
ResetHeightmap_Deny_Label 取消
ResetHeightmap_Deny_Tooltip 取消重置高度.

SelectedLayer 选中图层
LayerGuid 资源 Guid
ResetAsset 重置资源

LayerNull 空
LayerMissing 无效
