Ambient_Occlusion_Label 环境光遮蔽(AO)
Ambient_Occlusion_Tooltip 物体附近角落和相交线大的软阴影显得更暗.
Bloom_Toggle_Label 泛光(Bloom)
Bloom_Tooltip 强光发光周围的模糊光晕.
Chromatic_Aberration_Toggle_Label 色差(CA)
Chromatic_Aberration_Tooltip 模仿镜头瑕疵的艺术效果.(截图时可能会用到)
Film_Grain_Toggle_Label 胶片颗粒
Film_Grain_Tooltip 添加细微的视觉噪点减少色带.
Terrain_Toggle_Label Terrain Backdrop
Blend_Toggle_Label 地面过渡
Blend_Tooltip 根据每个地形材质的高度图混合地面贴图, 而不是基础的线性混合.
Fog_Toggle_Label Height Fog
Nice_Foliage_Toggle_Label Windy Foliage
Grass_Displacement_Toggle_Label 移动压弯草丛
Grass_Displacement_Tooltip 周围的草丛随着玩家移动会被压弯.
Foliage_Focus_Toggle_Label 瞄具显示植被
Foliage_Focus_Tooltip 瞄具放大时显示焦点周围的植被.
Ragdolls_Toggle_Label 布娃娃(Ragdolls)
Ragdolls_Tooltip 模拟实体尸体物理效果.
Debris_Toggle_Label 碎片残骸
Debris_Tooltip 模拟物体被破坏时的碎片物理效果.
Blast_Toggle_Label 爆炸痕迹
Blast_Toggle_Tooltip 爆炸时生成3D贴花. 性能受屏幕上重叠像素数影响.
Puddle_Toggle_Label 积雨坑
Puddle_Tooltip 积水和涟漪效果.
Glitter_Toggle_Label 闪光雪
Glitter_Tooltip 闪闪发光的雪面.
Triplanar_Toggle_Label 三面映射
Triplanar_Tooltip 通过对每像素三个纹理进行采样，将巨石纹理与地形对齐
Skybox_Reflection_Label 天空盒反射
Skybox_Reflection_Tooltip 渲染动态天空盒环境照明和反射到立方体贴图.
Item_Icon_Anti_Aliasing_Label 项目图标抗锯齿
Item_Icon_Anti_Aliasing_Tooltip 防止在物品栏项目图标的锯齿状像素边缘.

Far_Clip_Slider_Label 远景绘制距离 [{0}%]
Distance_Slider_Label 近景绘制距离 [{0}%]
Landmark_Slider_Label 地标绘制距离 [{0}%]

Anti_Aliasing_Button_Label 抗锯齿(AA)
Anti_Aliasing_Button_Tooltip 减少锯齿状像素边缘
Anisotropic_Filtering_Button_Label 各向异性过滤(AF)
Anisotropic_Filtering_Button_Tooltip 减少倾斜角度造成的纹理模糊
Effect_Button_Label 特效时间
Effect_Button_Tooltip 特效持续时间
Foliage_Button_Label 植被密度
Foliage_Button_Tooltip 可见植被数量
Sun_Shafts_Button_Label 体积光
Sun_Shafts_Button_Tooltip 丁达尔效应
Lighting_Button_Label 光照质量
Lighting_Button_Tooltip 阴影分辨率和光源数量
Reflection_Button_Label 屏幕空间反射
Reflection_Button_Tooltip 水坑反射细节
Planar_Reflection_Button_Label 平面反射
Planar_Reflection_Button_Tooltip 水面反射细节
Water_Button_Label 水体质量
Water_Button_Tooltip 水体透明度, 气泡, 波浪 和 反射
Scope_Button_Label 目镜质量
Scope_Button_Tooltip 双重渲染目镜分辨率
Outline_Button_Label 轮廓质量
Outline_Button_Tooltip 材质轮廓分辨率和模糊效果
Terrain_Button_Label 地形质量
Terrain_Button_Tooltip 动态景观几何分辨率
Wind_Button_Label 风区质量
Wind_Button_Tooltip 风区动画细节
Tree_Mode_Button_Label 树木质量 [重启生效]
Tree_Mode_Button_Tooltip 使用树木模型类型[重启游戏生效]
Render_Mode_Button_Label 渲染模式
Render_Mode_Button_Tooltip  <前向渲染> : (较旧) GPU 上运行可能是更好的选择, <延迟渲染> : 开启 <爆炸痕迹>/<屏幕空间反射> 选项
Landmark_Button_Label 地标模型
Landmark_Button_Tooltip 增加延长视距的极低细节模型

Effect_Off {0}: 仅血液
Effect_Tier {0}: {1} 秒

Planar_Reflection_Low {0}: 仅景观
Planar_Reflection_Medium {0}: 天空, 树木, 建筑, 大型实体
Planar_Reflection_High {0}: 载具, 路障, 中型实体
Planar_Reflection_Ultra {0}: 玩家, AI, 特效

Wind_Low {0}: 传统风场
Wind_Medium {0}+: SpeedTree分层风场

Landmark_Low {0}: 大型实体
Landmark_Medium {0}: 树木
Landmark_High {0}: 选入实体
Landmark_Ultra {0}: 道路

FXAA FXAA
TAA TAA
MSAA2 2xMSAA
MSAA4 4xMSAA
MSAA8 8xMSAA
AA_Hint <延迟渲染> 与 <MSAA> 不兼容

AF_Disabled 禁用
AF_Per_Texture 每个纹理
AF_Forced_On 强制开启

TM_Legacy 传统模型
TM_SpeedTree_Fade_None SpeedTrees模型
TM_SpeedTree_Fade_SpeedTree 极致SpeedTrees模型

Forward 前向渲染 [传统]
Deferred 延迟渲染 [推荐]

Off 关闭
Low 性能
Medium 平衡
High 质量
Ultra 极致

Perf_Foliage_Instancing_Not_Supported GPU 不支持植被实例化. 将对性能产生显著的影响.
Perf_Water_Reflections <极致> 启用 <平面反射> 选项.该选项需要不断绘制水面的倒影, 性能将减半.
Perf_Dual_Render_Scope 双重渲染目镜需要不断绘制放大的场景, 性能将减半.
Perf_SpeedTrees <SpeedTrees模型> 将对性能产生显著的影响. 大部分硬件推荐使用 <传统模型>.
