FOV_Slider_LabelV2_Name FOV
FOV_Slider_LabelV2_Value [H:{0}°] × [V:{1}°]
Debug_Toggle_Label 显示 FPS/Ping
Splashscreen_Toggle_Label 启动加载画面
Timer_Toggle_Label 竞技场倒计时警告
Physics_Toggle_Label 物品掉落物理效果
Gore_Toggle_Label 血液喷溅效果

Filter_Toggle_Label 文本过滤
Filter_Toggle_Tooltip 提示: 无论是否启用文本过滤都将审查敏感言论.

Chat_Text_Toggle_Label 显示聊天文本
Chat_Voice_In_Toggle_Label 启用语音聊天 (玩家)
Chat_Voice_Out_Toggle_Label 启用语音聊天 (自己)
VoiceAlwaysRecording_Label 保持麦克风打开
VoiceAlwaysRecording_Tooltip 通过静音避免频繁开始和停止录音造成的故障.
Hints_Toggle_Label 显示基础提示信息
Streamer_Toggle_Label 直播(Streamer) 模式
Featured_Workshop_Toggle_Label 显示创意工坊精选
Show_Hotbar_Toggle_Label 显示物品栏
Pause_When_Unfocused_Label 切换窗口暂停 (Alt+Tab)
Nametag_Fade_Out_Label 淡化标签
Nametag_Fade_Out_Tooltip 淡化准星附近的群组成员名称标签.
ScreenshotSizeMultiplier_Label (倍) 截图分辨率
ScreenshotSizeMultiplier_Tooltip 较高的值能明显增加渲染截图图像时所花费的时间.
ScreenshotSupersampling_Label 截图超级采样
ScreenshotSupersampling_Tooltip 采用 2x 超级采样渲染截图图像来减少锯齿.
ScreenshotsWhileLoading_Label 截图游戏加载
ScreenshotsWhileLoading_Tooltip 使用截图图像作为启动游戏时加载画面.

UseStaticCrosshair_Label 自定义准星大小
UseStaticCrosshair_Tooltip 使用自定义准星大小, 而不是根据器械散布计算大小.
StaticCrosshairSize_Label 准星大小
CrosshairShape_Line 线状
CrosshairShape_Classic 点状(经典)
CrosshairShape_Label 准星样式

Metric_On 公制
Metric_Off 英制
Metric_Tooltip 影响距离和速度的表示方式.
Metric_Label 单位系统

Talk_On 跳过
Talk_Off 播放
Talk_Tooltip 禁用 NPC 对话的文本动画.
Talk_Label 对话文本动画

UI_Free 浅色
UI_Pro 深色
UI_Tooltip 浅色与黄金帐户 (DLC) 中的 UI 颜色选项结合使用时效果更佳.
UI_Label 界面颜色

Hitmarker_Static 静态
Hitmarker_Dynamic 动态
Hitmarker_Tooltip <静态> 标记屏幕中心 | <动态> 标记命中物体.
Hitmarker_Label 命中标记位置
HitmarkerStyle_Animated 动画
HitmarkerStyle_Classic 经典
HitmarkerStyle_Label 命中标记样式

VehicleThirdPersonCameraMode_RotationDetached 旋转分离
VehicleThirdPersonCameraMode_RotationAttached 旋转附加
VehicleThirdPersonCameraMode_Label 第三人称驾驶视角
AircraftThirdPersonCameraMode_Label 第三人称飞行视角
FlashbangBrightness_Label 闪光弹亮度 [{0}]
CameraShakeIntensity_Label 爆炸抖动强度 [{0}]

DamageFlinchMode_RollOnly 仅抖动
DamageFlinchMode_Directional 方向性
DamageFlinchMode_Label 硬直模式
DamageFlinchIntensity_Label 硬直强度 [{0}]

Crosshair_Box 准心颜色
Hitmarker_Box 命中颜色
Critical_Hitmarker_Box 关键命中颜色
Cursor_Box 光标颜色
Background_Box 界面背景颜色
Foreground_Box 界面前景颜色
Font_Box 字体颜色
Shadow_Box 字体阴影颜色
Bad_Color_Box 无效蓝图字体颜色

DontShowOnlineSafetyMenuAgain_Label 关闭"网络安全警告"菜单
DontShowOnlineSafetyMenuAgain_Tooltip 进入多人游戏时将不会显示"网络安全警告"菜单. (如果您从未进入多人游戏.)
