Host_Field_Label 主机 / 联机代码
Host_Field_Tooltip 联机代码 / 域名 / IP地址.
Port_Field_Label 端口
Port_Field_Tooltip 主机地址中存在":####", 将自动设置端口.
Password_Field_Label 密码
Password_Field_Replace ●

Connect_Button 连接服务器
Connect_Button_Tooltip 连接服务器

Cancel_Attempt_Label 取消
Cancel_Attempt_Tooltip 取消连接服务器.

Connecting 正在连接服务器... [Try #{0}]
Pro_Server 服务器仅允许黄金账户加入.
Password 请输入正确的服务器密码.
Full 服务器玩家/队列列表已满员.
Timed_Out 服务器连接超时.

Address_Loopback_Label 本地主机
Address_Loopback_Tooltip 本地主机的服务器地址.
Address_LocalPrivate_Label 局域网
Address_LocalPrivate_Tooltip 局域网的服务器地址.

ServerCode_Valid_Label 联机代码
ServerCode_Valid_Tooltip 合法的游戏联机代码.
ServerCode_Invalid_Label 联机代码无效
ServerCode_Invalid_Tooltip 非法的游戏联机代码.
ServerCode_Friend_Tooltip 这是一个 Steam 好友代码, 而不是联机代码.
