Columns_Tooltip 列表

Server_Button {0} [ {1} ]
Server_Players {0} / {1}

Presets_Label 预设列表
Presets_Tooltip 保存和加载自定义筛选器预设.

DefaultPreset_Internet_Label 在线 (默认)
DefaultPreset_LAN_Label 本地
DefaultPreset_History_Label 历史
DefaultPreset_Favorites_Label 收藏
DefaultPreset_Friends_Label 好友

PresetName_Empty 自定义
PresetName_Modified {0} (未保存)

PresetNameField_Tooltip 创建新预设的名称.
PresetNameField_Hint 示例: My Preset
NewPreset_Label 创建预设
NewPreset_Tooltip 使用当前筛选器设置创建预设.
DeletePreset_Label 删除预设
DeletePreset_Tooltip 永久删除预设.
DeletePreset_Confirm_Label 确定
DeletePreset_Confirm_Tooltip 删除预设.
DeletePreset_Deny_Label 取消
DeletePreset_Deny_Tooltip 保留预设.

Name_Filter_Label 名称筛选器
Name_Filter_Toggle_Tooltip 显示/隐藏.
Name_Filter_Tooltip 仅显示名称包含此文本的服务器.\n当以<color=#CCFFFF> "regex:" </color>为前缀时会解析为正则表达式.
Name_Filter_Hint 示例: My Server Name

MapFilter_Button_EmptyLabel 全部地图
MapFilter_Button_Tooltip 打开地图过滤器.
MapFilter_Header_Label 选择地图
MapFilter_Header_Tooltip 当前已选择地图
MapFilter_ResetButton_Label 重置选择
MapFilter_ResetButton_Tooltip 取消并切换至全部地图.
Map_Filter_Label 地图过滤器
Map_Filter_Toggle_Tooltip 显示/隐藏.

Refresh_Label 搜索服务器
Refresh_Tooltip 搜索相关服务器.
Refresh_Cancel_Label 取消
Refresh_Cancel_Tooltip 取消持续搜索.

List_Label 目标列表
List_Toggle_Tooltip 目标列表过滤器可见性.
List_Internet_Label 在线
List_Internet_Tooltip 查找互联网上的服务器.
List_LAN_Label 本地
List_LAN_Tooltip 查找局域网上的服务器.
List_History_Label 历史
List_History_Tooltip 查找历史游玩过的服务器.
List_Favorites_Label 收藏
List_Favorites_Tooltip 查找加入收藏的服务器.
List_Friends_Label 好友
List_Friends_Tooltip 查找好友正在游玩的服务器.

MaxPing_Filter_Label 最大延迟过滤器
MaxPing_Filter_Toggle_Tooltip 显示/隐藏.
MaxPing_Filter_Tooltip 隐藏网络延迟(ms)较高的服务器.

HostingButtonText 文档
HostingButtonTooltip 阅读服务器主机文档.

ViewPresetsButton_Open_Label 打开预设
ViewPresetsButton_Close_Label 关闭预设
ViewPresetsButton_Tooltip 切换筛选预设可见性.
QuickFiltersButton_Open_Label 打开过滤器
QuickFiltersButton_Close_Label 关闭过滤器
QuickFiltersButton_Tooltip 筛选当前服务器列表.
PresetsEditorButton_Label 编辑预设:\n{0}
PresetsEditorButton_Tooltip 编辑和创建/删除自定义筛选器.
QuickFiltersVisibilityButton_Open_Label 显示可用过滤器
QuickFiltersVisibilityButton_Close_Label 隐藏可用过滤器
QuickFiltersVisibilityButton_Tooltip 显示/隐藏.

Password_Filter_Label 密码保护筛选
Password_Filter_Toggle_Tooltip 显示/隐藏.
Any_Password_Button 密码: 全部
Password_Filter_Any_Tooltip 忽略服务是否需要使用密码加入.
Yes_Password_Button 密码: 有
Password_Filter_Yes_Tooltip 仅显示需要使用密码加入的服务器.
No_Password_Button 密码: 无
Password_Filter_No_Tooltip 仅显示不需要使用密码加入的服务器.

Workshop_Filter_Label 创意工坊筛选
Workshop_Filter_Toggle_Tooltip 显示/隐藏.
Any_Workshop_Button 创意工坊:全部
Workshop_Filter_Any_Tooltip 忽略服务是否使用来自创意工坊的模组.
Yes_Workshop_Button 创意工坊: 有
Workshop_Filter_Yes_Tooltip 仅显示使用创意工坊的服务器.
No_Workshop_Button 创意工坊: 无
Workshop_Filter_No_Tooltip 仅显示未使用创意工坊的服务器.

Plugins_Filter_Label 插件筛选
Plugins_Filter_Toggle_Tooltip 显示/隐藏.
Any_Plugins_Button 插件: 全部
Plugins_Filter_Any_Tooltip 忽略服务是否使用插件.
Yes_Plugins_Button 插件: 有
Plugins_Filter_Yes_Tooltip 仅显示使用插件的服务器.
No_Plugins_Button 插件: 无
Plugins_Filter_No_Tooltip 仅显示未使用插件的服务器 (原版).

Attendance_Filter_Label 在线玩家筛选
Attendance_Filter_Toggle_Tooltip 显示/隐藏.
Any_Attendance_Button 在线玩家: 全部
Attendance_Filter_Any_Tooltip 忽略服务是否有玩家在线.
Empty_Button 在线玩家: 无
Attendance_Filter_Empty_Tooltip 仅显示无玩家在线的服务器.
HasPlayers_Button 在线玩家: 有
Attendance_Filter_HasPlayers_Tooltip 仅显示有玩家在线的服务器.

Space_Filter_Label 角色槽位筛选
Space_Filter_Toggle_Tooltip 显示/隐藏.
Any_Space_Button 角色槽位: 无
Space_Filter_Any_Tooltip 忽略服务是否允许多角色槽位.
Space_Button 角色槽位: 有
Space_Filter_HasSpace_Tooltip 仅显示允许多角色槽位的服务器.

VAC_Filter_Label VAC 保护筛选
VAC_Filter_Toggle_Tooltip 显示/隐藏.
VAC_Any_Button VAC: 全部
VAC_Filter_Any_Tooltip 忽略服务是否使用 VAC.
VAC_Secure_Button VAC: 安全
VAC_Filter_Secure_Tooltip 仅显示启用 VAC 的服务器.
VAC_Insecure_Button VAC: 不安全
VAC_Filter_Insecure_Tooltip 仅显示禁用 VAC 的服务器.

BattlEye_Filter_Label 战眼保护筛选
BattlEye_Filter_Toggle_Tooltip 显示/隐藏.
BattlEye_Any_Button 战眼: 全部
BattlEye_Filter_Any_Tooltip 忽略服务是否使用战眼反作弊.
BattlEye_Secure_Button 战眼: 已启用
BattlEye_Filter_Secure_Tooltip 仅显示启用战眼反作弊的服务器.
BattlEye_Insecure_Button 战眼: 已禁用
BattlEye_Filter_Insecure_Tooltip 仅显示禁用战眼反作弊的服务器.

Combat_Filter_Label PvP/PvE
Combat_Filter_Toggle_Tooltip 显示/隐藏.
Any_Combat_Button PvP/PvE
