Play_Button 进入游戏
Play_Button_Tooltip 进入当前地图.
Browse_Servers_Label 查找服务器
Browse_Servers_Tooltip 查找当前地图的服务器.

Any_Button Any Mode
Easy_Button 简单
Normal_Button 普通
Hard_Button 困难

Config_Button 高级选项
Config_Button_Tooltip 修改更多游戏设置.

Reset_Button 重置地图
Reset_Button_Tooltip 重置当前地图的单人游戏存档.
Reset_Button_Confirm 确定
Reset_Button_Confirm_Tooltip 无法撤销!
Reset_Button_Deny 取消
Reset_Button_Deny_Tooltip 取消重置当前地图的单人游戏存档.

Maps_Official 官方地图
Maps_Official_Tooltip 来自开发者创作的地图
Maps_Curated 精选地图
Maps_Curated_Tooltip 来自社区精心挑选的地图
Maps_Workshop 创意工坊
Maps_Workshop_Tooltip 来自创意工坊下载的地图
Maps_Misc 其他地图
Maps_Misc_Tooltip 来自活动和自己创作的地图

Retired_View_Label 创意工坊
Retired_View_Tooltip 查看地图创意工坊.
Retired_Manage_Sub 订阅
Retired_Manage_Unsub 取消订阅
Retired_Manage_Tooltip 自动下载或删除地图.

Manage_Workshop_Label 管理订阅列表
Manage_Workshop_Tooltip 管理订阅列表文件

Tiny 迷你地图
Small 小型地图
Medium 中型地图
Large 大型地图
Insane 巨型地图

Curated_Map_Timed 限时
Curated_Map_Timestamp {0}
Curated_Map_Timestamp_Format MMM/dd/yy

Cheats_Label 允许作弊

Survival 生存模式
Horde 阵营模式 [内部测试]
Arena 竞技模式

Info_WithVersion {0} - {1} - v{2}

Creators 创作者:
Collaborators 协作者:
Thanks 特别鸣谢:
Credits_Text If you are enjoying the {0} map considering supporting its creators by checking out the {1}! Further details available on the stockpile page.
Credits_Tooltip 点击此处查看库存页面.
Timed_Text This map has been officially featured from the Workshop until: <color=#00FF00>{0}</color> Afterwards it will remain available on the Steam Workshop.

Feedback_Button 意见&错误反馈
Feedback_Button_Tooltip 点击此处查看评论.

Overlay 请在游戏属性中开启"在游戏中启用 Steam 界面"选项.
