Type_Tooltip 目标资源类型
Type_Item 物品
Type_Vehicle 载具
Type_Animal 动物

View_Button 查看
View_Button_Tooltip 搜索生成表 ID
Raw_Button 格式
Raw_Button_Tooltip 导出到剪贴板
New_Button 新建
New_Button_Tooltip 新建生成表资源
Write_Button 写入
Write_Button_Tooltip 更改写入资源文件
Add_Root_Spawn_Button 添加根
Add_Root_Spawn_Button_Tooltip 添加根
Remove_Root_Button 移除根
Remove_Root_Button_Tooltip 移除根
Add_Table_Asset_Button 添加表资源
Add_Table_Asset_Button_Tooltip 添加表资源
Add_Table_Spawn_Button 添加表
Add_Table_Spawn_Button_Tooltip 添加表
Remove_Table_Button 移除表
Remove_Table_Button_Tooltip 移除表
Apply_Weights_Button 应用权重
Apply_Weights_Button_Tooltip 计算概率百分比

Roots_Box {0} - 根
Roots_Box_Tooltip 父生成表

Tables_Box {0} - 表
Tables_Box_Tooltip 子生成表

Weight_Tooltip 权重
Chance_Tooltip 概率
