Name_Field_Label 名称
Description_Field_Label 描述
Path_Field_Label 内容路径
Preview_Field_Label 预览图片
Change_Field_Label 更改说明
Allowed_IPs_Label 允许 IPs
Allowed_IPs_Hint 请使用逗号","分隔;例如: 127.0.0.1,192.168.0.0 whitelist-blacklist
Allowed_IPs_Tooltip 仅允许这些服务器 IP 自动下载此项目, 自定义服务器网络请求.

Create_Button 创建
Create_Button_Tooltip 创建

Legal_Button 提交并同意《Steam 创意工坊协议》!
Legal_Button_Tooltip 查看服务条款

Map Map
Localization Localization
Object Object
Item Item
Vehicle Vehicle
Skin Skin

Map_Type_Survival Survival
Map_Type_Horde Horde
Map_Type_Arena Arena
Map_Type_Custom Custom Game

Item_Type_Backpack Backpack
Item_Type_Barrel Barrel
Item_Type_Barricade Barricade
Item_Type_Fisher Fisher
Item_Type_Food Food
Item_Type_Fuel Fuel
Item_Type_Glasses Glasses
Item_Type_Grip Grip
Item_Type_Grower Grower
Item_Type_Gun Gun
Item_Type_Hat Hat
Item_Type_Magazine Magazine
Item_Type_Mask Mask
Item_Type_Medical Medical
Item_Type_Melee Melee
Item_Type_Optic Optic
Item_Type_Shirt Shirt
Item_Type_Sight Sight
Item_Type_Structure Structure
Item_Type_Supply Supply
Item_Type_Tactical Tactical
Item_Type_Throwable Throwable
Item_Type_Tool Tool
Item_Type_Vest Vest
Item_Type_Water Water

Vehicle_Type_Wheels_2 2 Wheels
Vehicle_Type_Wheels_4 4 Wheels
Vehicle_Type_Plane Airplane
Vehicle_Type_Helicopter Helicopter
Vehicle_Type_Boat Boat
Vehicle_Type_Train Train

Skin_Type_Generic_Pattern Generic Pattern
Skin_Type_Ace Ace
Skin_Type_Augewehr Augewehr
Skin_Type_Avenger Avenger
Skin_Type_Bluntforce Bluntforce
Skin_Type_Bulldog Bulldog
Skin_Type_Butterfly_Knife Butterfly Knife
Skin_Type_Calling_Card Calling Card
Skin_Type_Cobra Cobra
Skin_Type_Colt Colt
Skin_Type_Compound_Bow Compound Bow
Skin_Type_Crossbow Crossbow
Skin_Type_Desert_Falcon Desert Falcon
Skin_Type_Dragonfang Dragonfang
Skin_Type_Eaglefire Eaglefire
Skin_Type_Ekho Ekho
Skin_Type_Fusilaut Fusilaut
Skin_Type_Grizzly Grizzly
Skin_Type_Hawkhound Hawkhound
Skin_Type_Heartbreaker Heartbreaker
Skin_Type_Hell_Fury Hell's Fury
Skin_Type_Honeybadger Honeybadger
Skin_Type_Katana Katana
Skin_Type_Kryzkarek Kryzkarek
Skin_Type_Machete Machete
Skin_Type_Maplestrike Maplestrike
Skin_Type_Maschinengewehr Maschinengewehr
Skin_Type_Masterkey Masterkey
Skin_Type_Matamorez Matamorez
Skin_Type_Military_Knife Military Knife
Skin_Type_Nightraider Nightraider
Skin_Type_Nykorev Nykorev
Skin_Type_Peacemaker Peacemaker
Skin_Type_Rocket_Launcher Rocket Launcher
Skin_Type_Sabertooth Sabertooth
Skin_Type_Scalar Scalar
Skin_Type_Schofield Schofield
Skin_Type_Shadowstalker Shadowstalker
Skin_Type_Snayperskya Snayperskya
Skin_Type_Sportshot Sportshot
Skin_Type_Timberwolf Timberwolf
Skin_Type_Teklowvka Teklowvka
Skin_Type_Viper Viper
Skin_Type_Vonya Vonya
Skin_Type_Yuri Yuri
Skin_Type_Zubeknakov Zubeknakov

Object_Type_Model Model
Object_Type_Resource Resource
Object_Type_Effect Effect
Object_Type_Animal Animal

Public 公共
Friends_Only 仅限好友
Private 私人
Unlisted 未列出

Community 未采纳
Review 已采纳

Overlay 请在游戏属性中开启"在游戏中启用 Steam 界面"选项.

Alert_Name 请指定创意工坊项目上显示的名称.
Alert_Preview 请指定一张小于 1MB 预览图片 [.png or .jpg] 创意工坊项目上显示的预览图片.
Alert_Path 请指定包含您的创意工坊物品的文件夹路径.
Alert_Map 请指定有效的地图.
Alert_Localization 请指定有效的本地化.
Alert_Object 请指定有效的 object/item/vehicle/skin.
Alert_Curated 请仅提交物品涂装和皮肤到已采纳的创意工坊.

PathFieldNotification_Empty 不能为空.
PathFieldNotification_MissingFolder 指定的目录不存在.
PathFieldNotification_Map 目录应仅包含地图的文件夹.
PathFieldNotification_Localization 目录应包含 Editor, Menu, Player 等文件夹.
PathFieldNotification_Bundle 目录应至少包含一个子文件夹.
PathFieldNotification_NoWritePermission 访问权限被拒绝.

PreviewFieldNotification_Empty 不能为空.
PreviewFieldNotification_MissingFile 指定的文件不存在.
PreviewFieldNotification_Extension 图像必须是 .png 或 .jpg.
PreviewFieldNotification_FileSize 图像文件大小过大.
