Rarity_0 普通
Rarity_1 罕见
Rarity_2 稀有
Rarity_3 史诗
Rarity_4 传说
Rarity_5 神话

Type_0 帽子
Type_1 裤子
Type_2 衬衫
Type_3 面具
Type_4 背包
Type_5 背心
Type_6 眼镜
Type_7 远程武器
Type_8 瞄具
Type_9 挂件
Type_10 握把
Type_11 枪管
Type_12 弹匣
Type_13 食物
Type_14 饮料
Type_15 药物
Type_16 近战武器
Type_17 油罐
Type_18 Tool
Type_19 路障
Type_20 物品储存装置
Type_21 信标
Type_22 植物
Type_23 陷阱
Type_24 结构
Type_25 合成材料
Type_26 投掷物
Type_27 植物生长剂
Type_28 光学器械
Type_29 水瓶
Type_30 鱼竿
Type_31 降落伞
Type_32 地图
Type_33 钥匙
Type_34 箱子
Type_35 捕捉
Type_36 释放
Type_37 液体存储装置
Type_38 发电装置
Type_39 远程触发装置
Type_40 远程爆破装置
Type_41 经验存储装置
Type_42 辐射过滤装置
Type_43 自动炮台
Type_44 Tool
Type_45 Tool
Type_46 指南针
Type_47 油泵

Hotkey_Set 热键: {0}
Hotkey_Unset 热键: [3-9]

Rarity_Type_Label [{0}] {1}
Quality 耐久: {0}%
Amount 弹药: {0}

Fuel 油量: {0}%
Refill 水量: {0}
Empty 空
Full 满
Clean 清澈
Salty 含盐
Dirty 浑浊

Ammo 弹匣 [容量]: {0} [{1}/{2}]
None 空

Equip_Button 装备
Equip_Button_Tooltip 装备到手中.
Dequip_Button 卸下
Dequip_Button_Tooltip 卸下手中物品.
Drop_Button 丢弃
Drop_Button_Tooltip 掉落到附近.
Pickup_Button 拾取
Pickup_Button_Tooltip 拾取附近物品.

Take_Button 取出
Take_Button_Tooltip 取出存储物品.
Store_Button 存放
Store_Button_Tooltip 存放至存储.

Repair_Button 修复
Repair_Button_Tooltip 修复耐久至 100%.
Salvage_Button 拆分
Salvage_Button_Tooltip 拆分成合成材料.
Refill_Button 装填
Refill_Button_Tooltip 装填弹匣子弹.

Attachments_Button 拆卸
Attachments_Button_Tooltip 拆卸枪械配件.

Craft_Rag_Button 合成破布
Craft_Rag_Button_Tooltip 制成破布.
Craft_Bandage_Button 合成绷带
Craft_Bandage_Button_Tooltip 制成绷带.
Craft_Dressing_Button 合成敷料
Craft_Dressing_Button_Tooltip 制成敷料.
Craft_Seed_Button 合成种子
Craft_Seed_Button_Tooltip 制成种子.

Swap_Cosmetics_Tooltip 切换饰品
Swap_Skins_Tooltip 切换皮肤
Swap_Mythics_Tooltip 切换特效

Vehicle_Lock_On 已上锁 [{0}]
Vehicle_Lock_Off 未上锁 [{0}]
Vehicle_Lock_Tooltip 防止载具被偷窃.
Vehicle_Horn 喇叭 [{0}]
Vehicle_Horn_Tooltip 警示的音频.
Vehicle_Headlights_On 打开车灯 [{0}]
Vehicle_Headlights_Off 关闭车灯 [{0}]
Vehicle_Headlights_Tooltip 夜间行驶提供照明工具.
Vehicle_Sirens_On 打开警笛 [{0}]
Vehicle_Sirens_Off 关闭警笛 [{0}]
Vehicle_Sirens_Tooltip 紧急的音频.
Vehicle_Blimp_On 上升 [{0}]
Vehicle_Blimp_Off 下降 [{0}]
Vehicle_Blimp_Tooltip 调整气囊压舱物.
Vehicle_Hook 牵引锚索 [{0}]
Vehicle_Hook_Tooltip 携带附近的载具.
Vehicle_Seat_Empty 空
Vehicle_Seat_Slot {0} [{1}]
Vehicle_Steal_Battery 取出电池
Vehicle_Steal_Battery_Tooltip 取出载具电池
Vehicle_Skin_On 应用涂装
Vehicle_Skin_Off 清除涂装
Vehicle_Skin_Tooltip 应用有效载具皮肤.

Hands 手持
Storage 储存
Storage_Trunk {0} 的后备储存
Area 附近

Rot_X X++
Rot_Y Y++
Rot_Z Z++
