Conditions 目标:
Rewards 奖励:

Condition_Experience 经验 {0}/{1}
Condition_Reputation 声望 {0}/{1}
Condition_Item {0}/{1} {2}
Condition_Currency 货币 {0}/{1}

Condition_AnimalKills 击杀动物 {0}/{1}
Condition_HordeKills 击退尸潮 {0}/{1}
Condition_ObjectKills 破坏对象 {0}/{1}
Condition_PlayerKills 击杀玩家 {0}/{1}
Condition_TreeKills {0}/{1} {2}
Condition_ZombieKills 击杀僵尸 {0}/{1}

Reward_Experience 经验 {0}
Reward_Reputation 声望 {0}
Reward_Item {1} x{0}
Reward_Item_Random 随机物品 x{0}
Reward_Vehicle {0} x1
Reward_Currency 货币 {0}
Reward_Health 生命值 {0} 
Reward_Food 饥饿值 {0}
Reward_Water 口渴值 {0}
Reward_Virus 健康值 {0}
Reward_Stamina 体力值 {0}

Accept 接受
Accept_Tooltip 接受任务
Decline 拒绝
Decline_Tooltip 拒绝任务
Continue 提交
Continue_Tooltip 提交任务
Track_On 跟踪任务
Track_Off 取消跟踪任务
Track_Tooltip 固定/取消固定 任务详情
Abandon 放弃
Abandon_Tooltip 放弃任务
Return 退出
Return_Tooltip 退出任务界面
