//
// Add any constant from the UnityEngine.KeyCode enum to translate it here. It doesn't matter if it's in the default English file.
// For example "Backslash обра́тный слэш" to translate the "\" key.
//

Alpha1 1
Alpha2 2
Alpha3 3
Alpha4 4
Alpha5 5
Alpha6 6
Alpha7 7
Alpha8 8
Alpha9 9
Alpha0 0

Minus  - 
Equals  = 
Semicolon  ; 
Quote  ' 
Backslash  \ 
Comma  , 
Period  . 
Slash  / 

Insert Ins
Delete Del

LeftParen Left Parenthesis
RightParen Right Parenthesis
LeftBracket  ] 
RightBracket  ] 
BackQuote  ` 

Keypad1 小键盘 1 
Keypad2 小键盘 2 
Keypad3 小键盘 3 
Keypad4 小键盘 4 
Keypad5 小键盘 5 
Keypad6 小键盘 6 
Keypad7 小键盘 7 
Keypad8 小键盘 8 
Keypad9 小键盘 9 
Keypad0 小键盘 0 

KeypadDivide 小键盘 / 
KeypadMultiply 小键盘 * 
KeypadMinus 小键盘 - 

UpArrow  ↑ 
LeftArrow  ← 
RightArrow  → 
DownArrow  ↓ 

PageUp PgUp
PageDown PgDn

CapsLock Caps
ScrollLock ScrLk

RightShift R-Shift
LeftShift L-Shift
RightControl R-Ctrl
LeftControl L-Ctrl
RightAlt R-Alt
LeftAlt L-Alt
RightCommand R-Cmd
RightApple R-Apple
LeftCommand L-Cmd
LeftApple L-Apple
LeftWindows L-Win
RightWindows R-Win

Mouse0 Mouse 1
Mouse1 Mouse 2
Mouse2 Mouse 3
Mouse3 Mouse 4
Mouse4 Mouse 5
Mouse5 Mouse 6
